source,period,year_month,total_sampled,covid_count
bbc_news_tv,control,2016-08,70,0
bbc_news_tv,control,2016-12,87,2
bbc_news_tv,control,2016-07,41,0
bbc_news_tv,control,2016-06,74,1
bbc_news_tv,control,2016-11,66,3
bbc_news_tv,control,2016-10,55,0
bbc_news_tv,control,2016-09,58,3
bbc_news_tv,control,2017-04,99,0
bbc_news_tv,control,2017-08,88,2
bbc_news_tv,control,2017-12,86,3
bbc_news_tv,control,2017-02,97,1
bbc_news_tv,control,2017-01,85,1
bbc_news_tv,control,2017-07,90,3
bbc_news_tv,control,2017-06,100,2
bbc_news_tv,control,2017-03,66,0
bbc_news_tv,control,2017-05,79,1
bbc_news_tv,control,2017-11,91,3
bbc_news_tv,control,2017-10,65,2
bbc_news_tv,control,2017-09,108,1
bbc_news_tv,control,2018-04,97,0
bbc_news_tv,control,2018-08,91,4
bbc_news_tv,control,2018-12,93,3
bbc_news_tv,control,2018-02,88,0
bbc_news_tv,control,2018-01,65,4
bbc_news_tv,control,2018-07,65,1
bbc_news_tv,control,2018-06,85,2
bbc_news_tv,control,2018-03,75,1
bbc_news_tv,control,2018-05,93,3
bbc_news_tv,control,2018-11,88,0
bbc_news_tv,control,2018-10,77,0
bbc_news_tv,control,2018-09,66,1
bbc_news_tv,control,2019-04,80,4
bbc_news_tv,control,2019-08,87,3
bbc_news_tv,control,2019-02,62,0
bbc_news_tv,control,2019-01,74,0
bbc_news_tv,control,2019-07,93,1
bbc_news_tv,control,2019-06,80,1
bbc_news_tv,control,2019-03,91,1
bbc_news_tv,control,2019-05,1,0
bbc_news_tv,control,2019-11,58,1
bbc_news_tv,control,2019-10,63,1
bbc_news_tv,control,2019-09,74,0
bbc_news_tv,covid,2019-12,61,1
bbc_news_tv,covid,2020-04,47,15
bbc_news_tv,covid,2020-08,52,4
bbc_news_tv,covid,2020-12,51,12
bbc_news_tv,covid,2020-02,80,4
bbc_news_tv,covid,2020-01,62,2
bbc_news_tv,covid,2020-07,49,7
bbc_news_tv,covid,2020-06,48,7
bbc_news_tv,covid,2020-03,49,11
bbc_news_tv,covid,2020-05,47,14
bbc_news_tv,covid,2020-11,50,11
bbc_news_tv,covid,2020-10,50,9
bbc_news_tv,covid,2020-09,49,5
bbc_news_tv,covid,2021-04,49,8
bbc_news_tv,covid,2021-08,50,9
bbc_news_tv,covid,2021-12,45,13
bbc_news_tv,covid,2021-02,51,11
bbc_news_tv,covid,2021-01,48,6
bbc_news_tv,covid,2021-07,55,3
bbc_news_tv,covid,2021-06,51,4
bbc_news_tv,covid,2021-03,46,10
bbc_news_tv,covid,2021-05,73,8
bbc_news_tv,covid,2021-11,42,1
bbc_news_tv,covid,2021-10,60,2
bbc_news_tv,covid,2021-09,79,5
bbc_news_tv,covid,2022-04,60,1
bbc_news_tv,covid,2022-08,69,1
bbc_news_tv,covid,2022-12,63,6
bbc_news_tv,covid,2022-02,52,4
bbc_news_tv,covid,2022-01,40,9
bbc_news_tv,covid,2022-07,55,4
bbc_news_tv,covid,2022-06,57,0
bbc_news_tv,covid,2022-03,79,0
bbc_news_tv,covid,2022-05,71,4
bbc_news_tv,covid,2022-11,56,0
bbc_news_tv,covid,2022-10,127,2
bbc_news_tv,covid,2022-09,59,0
bbc_news_tv,covid,2023-04,51,3
bbc_news_tv,covid,2023-02,78,2
bbc_news_tv,covid,2023-01,56,5
bbc_news_tv,covid,2023-03,57,4
bbc_news_tv,covid,2023-05,55,2
bbc_radio4,control,2016-08,8,0
bbc_radio4,control,2016-12,10,0
bbc_radio4,control,2016-07,9,0
bbc_radio4,control,2016-06,8,0
bbc_radio4,control,2016-11,10,0
bbc_radio4,control,2016-10,8,0
bbc_radio4,control,2016-09,9,0
bbc_radio4,control,2017-04,11,0
bbc_radio4,control,2017-08,9,1
bbc_radio4,control,2017-12,9,0
bbc_radio4,control,2017-02,10,0
bbc_radio4,control,2017-01,11,0
bbc_radio4,control,2017-07,9,0
bbc_radio4,control,2017-06,10,0
bbc_radio4,control,2017-03,10,1
bbc_radio4,control,2017-05,9,0
bbc_radio4,control,2017-11,9,0
bbc_radio4,control,2017-10,11,0
bbc_radio4,control,2017-09,10,0
bbc_radio4,control,2018-04,9,1
bbc_radio4,control,2018-08,10,1
bbc_radio4,control,2018-12,10,0
bbc_radio4,control,2018-02,12,0
bbc_radio4,control,2018-01,10,1
bbc_radio4,control,2018-07,9,0
bbc_radio4,control,2018-06,11,0
bbc_radio4,control,2018-03,9,2
bbc_radio4,control,2018-05,10,0
bbc_radio4,control,2018-11,12,2
bbc_radio4,control,2018-10,10,0
bbc_radio4,control,2018-09,11,1
bbc_radio4,control,2019-04,10,0
bbc_radio4,control,2019-08,11,0
bbc_radio4,control,2019-02,10,1
bbc_radio4,control,2019-01,10,1
bbc_radio4,control,2019-07,9,0
bbc_radio4,control,2019-06,10,0
bbc_radio4,control,2019-03,10,1
bbc_radio4,control,2019-05,9,1
bbc_radio4,control,2019-11,10,1
bbc_radio4,control,2019-10,11,0
bbc_radio4,control,2019-09,23,0
bbc_radio4,control,unknown-01,11,0
bbc_radio4,covid,2019-12,10,0
bbc_radio4,covid,2020-04,11,4
bbc_radio4,covid,2020-08,9,2
bbc_radio4,covid,2020-12,10,0
bbc_radio4,covid,2020-02,10,2
bbc_radio4,covid,2020-01,10,1
bbc_radio4,covid,2020-07,10,1
bbc_radio4,covid,2020-06,10,0
bbc_radio4,covid,2020-03,10,0
bbc_radio4,covid,2020-05,11,2
bbc_radio4,covid,2020-11,9,0
bbc_radio4,covid,2020-10,10,3
bbc_radio4,covid,2020-09,9,1
bbc_radio4,covid,2021-04,9,0
bbc_radio4,covid,2021-08,11,2
bbc_radio4,covid,2021-12,9,0
bbc_radio4,covid,2021-02,10,2
bbc_radio4,covid,2021-01,9,3
bbc_radio4,covid,2021-07,10,4
bbc_radio4,covid,2021-06,10,2
bbc_radio4,covid,2021-03,10,3
bbc_radio4,covid,2021-05,10,1
bbc_radio4,covid,2021-11,10,0
bbc_radio4,covid,2021-10,10,0
bbc_radio4,covid,2021-09,9,0
bbc_radio4,covid,2022-04,10,2
bbc_radio4,covid,2022-08,9,1
bbc_radio4,covid,2022-12,11,1
bbc_radio4,covid,2022-02,10,0
bbc_radio4,covid,2022-01,9,1
bbc_radio4,covid,2022-07,9,1
bbc_radio4,covid,2022-06,10,0
bbc_radio4,covid,2022-03,12,0
bbc_radio4,covid,2022-05,10,0
bbc_radio4,covid,2022-11,9,0
bbc_radio4,covid,2022-10,10,1
bbc_radio4,covid,2022-09,10,1
bbc_radio4,covid,2023-04,10,1
bbc_radio4,covid,2023-02,11,1
bbc_radio4,covid,2023-01,11,0
bbc_radio4,covid,2023-03,9,1
bbc_radio4,covid,2023-05,11,0
bbc_radio4,covid,unknown-01,11,0
graham_norton,control,2016-12,33,1
graham_norton,control,2016-07,24,0
graham_norton,control,2016-06,24,0
graham_norton,control,2016-11,27,0
graham_norton,control,2016-10,30,0
graham_norton,control,2016-09,25,0
graham_norton,control,2017-04,34,0
graham_norton,control,2017-12,25,0
graham_norton,control,2017-02,27,0
graham_norton,control,2017-01,27,0
graham_norton,control,2017-07,32,0
graham_norton,control,2017-06,31,0
graham_norton,control,2017-03,35,0
graham_norton,control,2017-05,31,0
graham_norton,control,2017-11,23,0
graham_norton,control,2017-10,24,1
graham_norton,control,2017-09,25,0
graham_norton,control,2018-04,27,0
graham_norton,control,2018-12,37,0
graham_norton,control,2018-02,28,0
graham_norton,control,2018-01,28,0
graham_norton,control,2018-07,35,0
graham_norton,control,2018-06,30,0
graham_norton,control,2018-05,25,0
graham_norton,control,2018-11,26,0
graham_norton,control,2018-10,30,0
graham_norton,control,2018-09,22,0
graham_norton,control,2019-04,25,0
graham_norton,control,2019-02,26,0
graham_norton,control,2019-01,29,0
graham_norton,control,2019-07,39,0
graham_norton,control,2019-06,31,0
graham_norton,control,2019-05,32,0
graham_norton,control,2019-11,28,0
graham_norton,control,2019-10,24,0
graham_norton,control,2019-09,30,0
graham_norton,covid,2019-12,37,0
graham_norton,covid,2020-04,16,0
graham_norton,covid,2020-12,27,0
graham_norton,covid,2020-02,31,0
graham_norton,covid,2020-01,37,1
graham_norton,covid,2020-06,20,1
graham_norton,covid,2020-03,30,0
graham_norton,covid,2020-05,16,0
graham_norton,covid,2020-11,26,0
graham_norton,covid,2020-10,20,1
graham_norton,covid,2020-09,18,0
graham_norton,covid,2021-04,32,1
graham_norton,covid,2021-12,34,0
graham_norton,covid,2021-02,26,1
graham_norton,covid,2021-01,27,0
graham_norton,covid,2021-03,31,0
graham_norton,covid,2021-05,35,0
graham_norton,covid,2021-11,41,0
graham_norton,covid,2021-10,29,0
graham_norton,covid,2021-09,29,0
graham_norton,covid,2022-08,37,0
graham_norton,covid,2022-12,22,0
graham_norton,covid,2022-02,28,1
graham_norton,covid,2022-01,35,0
graham_norton,covid,2022-07,36,0
graham_norton,covid,2022-06,35,0
graham_norton,covid,2022-03,22,2
graham_norton,covid,2022-05,87,0
graham_norton,covid,2022-11,25,0
graham_norton,covid,2022-10,21,0
graham_norton,covid,2022-09,18,0
graham_norton,covid,2023-02,25,0
graham_norton,covid,2023-01,22,0
graham_norton,covid,2023-03,26,0
graham_norton,covid,2023-05,14,0
qi,control,2016-08,18,0
qi,control,2016-12,27,0
qi,control,2016-07,20,0
qi,control,2016-06,19,0
qi,control,2016-11,17,0
qi,control,2016-10,18,0
qi,control,2016-09,25,0
qi,control,2017-04,20,0
qi,control,2017-08,18,0
qi,control,2017-12,18,0
qi,control,2017-02,27,1
qi,control,2017-01,28,0
qi,control,2017-07,27,0
qi,control,2017-06,18,0
qi,control,2017-03,27,0
qi,control,2017-05,29,0
qi,control,2017-11,27,0
qi,control,2017-10,17,0
qi,control,2017-09,18,0
qi,control,2018-04,16,0
qi,control,2018-08,24,2
qi,control,2018-12,26,0
qi,control,2018-02,18,0
qi,control,2018-01,20,0
qi,control,2018-07,20,0
qi,control,2018-06,16,0
qi,control,2018-03,21,0
qi,control,2018-05,18,0
qi,control,2018-11,30,0
qi,control,2018-10,25,1
qi,control,2018-09,19,0
qi,control,2019-04,19,0
qi,control,2019-08,27,1
qi,control,2019-02,29,0
qi,control,2019-01,30,0
qi,control,2019-07,36,0
qi,control,2019-06,16,0
qi,control,2019-03,18,1
qi,control,2019-05,23,0
qi,control,2019-11,27,0
qi,control,2019-10,29,1
qi,control,2019-09,18,1
qi,covid,2019-12,18,0
qi,covid,2020-04,27,0
qi,covid,2020-08,27,0
qi,covid,2020-12,28,0
qi,covid,2020-02,30,0
qi,covid,2020-01,21,0
qi,covid,2020-07,20,0
qi,covid,2020-06,20,0
qi,covid,2020-03,17,0
qi,covid,2020-05,21,0
qi,covid,2020-11,25,0
qi,covid,2020-10,29,0
qi,covid,2020-09,27,0
qi,covid,2021-04,29,0
qi,covid,2021-08,18,0
qi,covid,2021-12,20,0
qi,covid,2021-01,20,0
qi,covid,2021-07,29,0
qi,covid,2021-06,16,0
qi,covid,2021-03,29,0
qi,covid,2021-05,24,0
qi,covid,2021-10,19,0
qi,covid,2021-09,18,1
qi,covid,2022-02,28,0
qi,covid,2022-01,32,1
qi,covid,2022-07,17,1
qi,covid,2022-06,25,0
qi,covid,2022-03,13,0
qi,covid,2022-11,17,0
qi,covid,2022-10,16,0
qi,covid,2023-04,23,0
qi,covid,2023-01,16,0
qi,covid,2023-03,15,0
the_last_leg,control,2016-12,25,0
the_last_leg,control,2016-07,17,1
the_last_leg,control,2016-06,24,0
the_last_leg,control,2016-11,22,0
the_last_leg,control,2016-10,27,0
the_last_leg,control,2016-09,23,0
the_last_leg,control,2017-04,21,0
the_last_leg,control,2017-08,19,0
the_last_leg,control,2017-12,20,0
the_last_leg,control,2017-02,24,0
the_last_leg,control,2017-01,27,0
the_last_leg,control,2017-07,23,0
the_last_leg,control,2017-06,36,0
the_last_leg,control,2017-03,22,0
the_last_leg,control,2017-05,21,0
the_last_leg,control,2017-11,22,0
the_last_leg,control,2017-10,19,0
the_last_leg,control,2017-09,26,0
the_last_leg,control,2018-08,25,0
the_last_leg,control,2018-12,47,1
the_last_leg,control,2018-02,21,0
the_last_leg,control,2018-01,19,0
the_last_leg,control,2018-07,24,0
the_last_leg,control,2018-06,34,0
the_last_leg,control,2018-03,22,0
the_last_leg,control,2018-11,25,0
the_last_leg,control,2018-10,26,0
the_last_leg,control,2019-04,23,0
the_last_leg,control,2019-02,22,0
the_last_leg,control,2019-01,22,0
the_last_leg,control,2019-07,22,1
the_last_leg,control,2019-06,22,0
the_last_leg,control,2019-03,21,0
the_last_leg,control,2019-05,23,0
the_last_leg,control,2019-11,24,1
the_last_leg,control,2019-10,23,2
the_last_leg,covid,2019-12,22,0
the_last_leg,covid,2020-12,23,1
the_last_leg,covid,2020-02,31,1
the_last_leg,covid,2020-01,52,0
the_last_leg,covid,2020-06,19,2
the_last_leg,covid,2020-03,23,3
the_last_leg,covid,2020-05,21,0
the_last_leg,covid,2020-11,35,0
the_last_leg,covid,2020-10,36,1
the_last_leg,covid,2021-08,18,1
the_last_leg,covid,2021-12,26,1
the_last_leg,covid,2021-02,47,1
the_last_leg,covid,2021-01,32,3
the_last_leg,covid,2021-07,35,1
the_last_leg,covid,2021-06,35,3
the_last_leg,covid,2021-03,23,2
the_last_leg,covid,2021-11,40,1
the_last_leg,covid,2021-10,27,4
the_last_leg,covid,2021-09,16,0
the_last_leg,covid,2022-08,20,0
the_last_leg,covid,2022-12,25,0
the_last_leg,covid,2022-02,14,0
the_last_leg,covid,2022-01,30,0
the_last_leg,covid,2022-07,26,0
the_last_leg,covid,2022-03,23,0
the_last_leg,covid,2022-11,19,0
the_last_leg,covid,2022-09,21,0
the_last_leg,covid,2023-02,21,0
the_last_leg,covid,2023-01,27,0
the_last_leg,covid,2023-03,21,0
the_one_show,control,2016-08,16,0
the_one_show,control,2016-12,15,0
the_one_show,control,2016-07,15,0
the_one_show,control,2016-06,14,0
the_one_show,control,2016-11,15,0
the_one_show,control,2016-10,20,0
the_one_show,control,2016-09,14,0
the_one_show,control,2017-04,18,0
the_one_show,control,2017-08,19,0
the_one_show,control,2017-12,29,0
the_one_show,control,2017-02,27,1
the_one_show,control,2017-01,26,0
the_one_show,control,2017-07,19,0
the_one_show,control,2017-06,19,0
the_one_show,control,2017-03,19,2
the_one_show,control,2017-05,18,0
the_one_show,control,2017-11,18,0
the_one_show,control,2017-10,17,1
the_one_show,control,2017-09,17,0
the_one_show,control,2018-04,17,0
the_one_show,control,2018-08,17,0
the_one_show,control,2018-12,16,0
the_one_show,control,2018-02,29,1
the_one_show,control,2018-01,29,0
the_one_show,control,2018-07,13,1
the_one_show,control,2018-06,16,0
the_one_show,control,2018-03,29,0
the_one_show,control,2018-05,26,0
the_one_show,control,2018-11,19,0
the_one_show,control,2018-10,16,0
the_one_show,control,2018-09,16,1
the_one_show,control,2019-04,17,0
the_one_show,control,2019-08,16,0
the_one_show,control,2019-02,16,1
the_one_show,control,2019-01,29,0
the_one_show,control,2019-07,17,0
the_one_show,control,2019-06,14,0
the_one_show,control,2019-03,1,0
the_one_show,control,2019-05,16,0
the_one_show,control,2019-11,15,0
the_one_show,control,2019-10,27,0
the_one_show,control,2019-09,26,3
the_one_show,covid,2019-12,14,0
the_one_show,covid,2020-04,14,1
the_one_show,covid,2020-08,17,1
the_one_show,covid,2020-12,15,0
the_one_show,covid,2020-02,25,0
the_one_show,covid,2020-01,16,0
the_one_show,covid,2020-07,16,1
the_one_show,covid,2020-06,17,0
the_one_show,covid,2020-03,16,1
the_one_show,covid,2020-05,19,2
the_one_show,covid,2020-11,17,0
the_one_show,covid,2020-10,14,0
the_one_show,covid,2020-09,16,4
the_one_show,covid,2021-04,19,0
the_one_show,covid,2021-08,14,0
the_one_show,covid,2021-12,15,0
the_one_show,covid,2021-02,17,1
the_one_show,covid,2021-01,20,2
the_one_show,covid,2021-07,17,0
the_one_show,covid,2021-06,19,0
the_one_show,covid,2021-03,17,0
the_one_show,covid,2021-05,18,0
the_one_show,covid,2021-11,15,1
the_one_show,covid,2021-10,19,1
the_one_show,covid,2021-09,18,0
the_one_show,covid,2022-04,20,0
the_one_show,covid,2022-08,20,0
the_one_show,covid,2022-12,23,0
the_one_show,covid,2022-02,32,0
the_one_show,covid,2022-01,17,0
the_one_show,covid,2022-07,19,0
the_one_show,covid,2022-06,38,1
the_one_show,covid,2022-03,16,1
the_one_show,covid,2022-05,19,0
the_one_show,covid,2022-11,22,0
the_one_show,covid,2022-10,20,0
the_one_show,covid,2022-09,19,0
the_one_show,covid,2023-04,15,1
the_one_show,covid,2023-02,16,0
the_one_show,covid,2023-01,22,0
the_one_show,covid,2023-03,19,0
the_one_show,covid,2023-05,20,0
