source,period,year_month,mean_sentiment,weighted_mean_sentiment,median_sentiment,positive_pct,neutral_pct,negative_pct,sentence_count,covid_sentence_count,sentiment_std
bbc_news_tv,control,2016-06,0,0.001,0.0,50.0,0.0,50.0,2,2,1.4142
bbc_news_tv,control,2016-09,1,1.0,1.0,100.0,0.0,0.0,2,2,0.0
bbc_news_tv,control,2016-10,-0.3333,-0.3325,-1,33.33,0.0,66.67,3,3,1.1547
bbc_news_tv,control,2016-11,-0.5,-0.4997,-1.0,25.0,0.0,75.0,4,4,1.0
bbc_news_tv,control,2016-12,0,-0.0333,0.0,50.0,0.0,50.0,8,8,1.069
bbc_news_tv,control,2017-01,1,1.0,1.0,100.0,0.0,0.0,6,6,0.0
bbc_news_tv,control,2017-02,0.1429,0.1422,1,57.14,0.0,42.86,7,7,1.069
bbc_news_tv,control,2017-03,1,1.0,1,100.0,0.0,0.0,1,1,0.0
bbc_news_tv,control,2017-04,1,1.0,1,100.0,0.0,0.0,3,3,0.0
bbc_news_tv,control,2017-06,0,0.0026,0.0,50.0,0.0,50.0,6,6,1.0954
bbc_news_tv,control,2017-07,-1,-1.0,-1.0,0.0,0.0,100.0,4,4,0.0
bbc_news_tv,control,2017-08,0.7143,0.7133,1,85.71,0.0,14.29,7,7,0.7559
bbc_news_tv,control,2017-09,1,1.0,1.0,100.0,0.0,0.0,2,2,0.0
bbc_news_tv,control,2017-10,1,1.0,1,100.0,0.0,0.0,1,1,0.0
bbc_news_tv,control,2017-11,0,0.0015,0.0,50.0,0.0,50.0,8,8,1.069
bbc_news_tv,control,2017-12,0,-0.0003,0.0,50.0,0.0,50.0,2,2,1.4142
bbc_news_tv,control,2018-01,1,1.0,1,100.0,0.0,0.0,5,5,0.0
bbc_news_tv,control,2018-02,-0.6667,-0.6664,-1.0,16.67,0.0,83.33,6,6,0.8165
bbc_news_tv,control,2018-03,1,1.0,1.0,100.0,0.0,0.0,2,2,0.0
bbc_news_tv,control,2018-04,0,-0.0015,0.0,50.0,0.0,50.0,8,8,1.069
bbc_news_tv,control,2018-05,0.6,0.5987,1,80.0,0.0,20.0,5,5,0.8944
bbc_news_tv,control,2018-06,0,0.0002,0.0,50.0,0.0,50.0,6,6,1.0954
bbc_news_tv,control,2018-08,-0.2,-0.1968,-1,40.0,0.0,60.0,5,5,1.0954
bbc_news_tv,control,2018-10,-1,-1.0,-1,0.0,0.0,100.0,3,3,0.0
bbc_news_tv,control,2018-12,1,1.0,1.0,100.0,0.0,0.0,2,2,0.0
bbc_news_tv,control,2019-01,0.2727,0.2718,1,63.64,0.0,36.36,11,11,1.009
bbc_news_tv,control,2019-02,1,1.0,1,100.0,0.0,0.0,1,1,0.0
bbc_news_tv,control,2019-03,-1,-1.0,-1.0,0.0,0.0,100.0,4,4,0.0
bbc_news_tv,control,2019-04,0.7143,0.7135,1,85.71,0.0,14.29,7,7,0.7559
bbc_news_tv,control,2019-06,0.5,0.49,1.0,75.0,0.0,25.0,4,4,1.0
bbc_news_tv,control,2019-07,0,-0.0072,0.0,50.0,0.0,50.0,2,2,1.4142
bbc_news_tv,control,2019-08,-0.7143,-0.7137,-1.0,14.29,0.0,85.71,14,14,0.7263
bbc_news_tv,control,2019-09,-1,-1.0,-1,0.0,0.0,100.0,1,1,0.0
bbc_news_tv,control,2019-10,-1,-1.0,-1.0,0.0,0.0,100.0,2,2,0.0
bbc_news_tv,control,2019-11,0.3333,0.3357,1,66.67,0.0,33.33,3,3,1.1547
bbc_news_tv,covid,2019-12,0,-0.0023,0.0,50.0,0.0,50.0,4,4,1.1547
bbc_news_tv,covid,2020-01,-0.2941,-0.3036,-1,35.29,0.0,64.71,17,17,0.9852
bbc_news_tv,covid,2020-02,-0.6491,-0.6534,-1,17.54,0.0,82.46,57,57,0.7674
bbc_news_tv,covid,2020-03,-0.1429,-0.1424,-1.0,42.86,0.0,57.14,196,196,0.9923
bbc_news_tv,covid,2020-04,-0.0329,-0.031,-1,48.36,0.0,51.64,213,213,1.0018
bbc_news_tv,covid,2020-05,0.1518,0.1525,1.0,57.59,0.0,42.41,224,224,0.9906
bbc_news_tv,covid,2020-06,0.2667,0.2632,1.0,63.33,0.0,36.67,120,120,0.9678
bbc_news_tv,covid,2020-07,-0.027,-0.0303,-1.0,48.65,0.0,51.35,148,148,1.003
bbc_news_tv,covid,2020-08,0.1228,0.1324,1.0,56.14,0.0,43.86,114,114,0.9968
bbc_news_tv,covid,2020-09,-0.2168,-0.2186,-1,39.16,0.0,60.84,143,143,0.9797
bbc_news_tv,covid,2020-10,-0.3712,-0.3703,-1,31.44,0.0,68.56,229,229,0.9306
bbc_news_tv,covid,2020-11,-0.2535,-0.257,-1.0,37.32,0.0,62.68,142,142,0.9708
bbc_news_tv,covid,2020-12,-0.3409,-0.3558,-1.0,32.95,0.0,67.05,88,88,0.9455
bbc_news_tv,covid,2021-01,-0.2281,-0.2231,-1,38.6,0.0,61.4,171,171,0.9765
bbc_news_tv,covid,2021-02,0.2348,0.2331,1,61.74,0.0,38.26,115,115,0.9763
bbc_news_tv,covid,2021-03,0.0337,0.0381,1,51.69,0.0,48.31,89,89,1.0051
bbc_news_tv,covid,2021-04,-0.1111,-0.1098,-1.0,44.44,0.0,55.56,126,126,0.9978
bbc_news_tv,covid,2021-05,-0.3438,-0.3442,-1.0,32.81,0.0,67.19,64,64,0.9465
bbc_news_tv,covid,2021-06,-0.0263,-0.0214,-1.0,48.68,0.0,51.32,76,76,1.0063
bbc_news_tv,covid,2021-07,0,0.004,0.0,50.0,0.0,50.0,82,82,1.0062
bbc_news_tv,covid,2021-08,0.1163,0.1136,1.0,55.81,0.0,44.19,86,86,0.999
bbc_news_tv,covid,2021-09,0.0222,0.0119,1,51.11,0.0,48.89,45,45,1.0111
bbc_news_tv,covid,2021-10,0.5152,0.4988,1,75.76,0.0,24.24,33,33,0.8704
bbc_news_tv,covid,2021-11,-0.1111,-0.0949,-1,44.44,0.0,55.56,9,9,1.0541
bbc_news_tv,covid,2021-12,-0.2625,-0.2616,-1.0,36.88,0.0,63.12,160,160,0.968
bbc_news_tv,covid,2022-01,0.0692,0.063,1,53.46,0.0,46.54,159,159,1.0008
bbc_news_tv,covid,2022-02,0.129,0.1323,1.0,56.45,0.0,43.55,62,62,0.9997
bbc_news_tv,covid,2022-03,0.25,0.2512,1.0,62.5,0.0,37.5,8,8,1.0351
bbc_news_tv,covid,2022-04,0.3043,0.3032,1,65.22,0.0,34.78,23,23,0.974
bbc_news_tv,covid,2022-05,-0.55,-0.5509,-1.0,22.5,0.0,77.5,40,40,0.8458
bbc_news_tv,covid,2022-06,0.6667,0.677,1.0,83.33,0.0,16.67,6,6,0.8165
bbc_news_tv,covid,2022-07,0.1071,0.1002,1.0,55.36,0.0,44.64,56,56,1.0032
bbc_news_tv,covid,2022-08,0.6667,0.6827,1.0,83.33,0.0,16.67,12,12,0.7785
bbc_news_tv,covid,2022-09,0.5,0.5042,1.0,75.0,0.0,25.0,4,4,1.0
bbc_news_tv,covid,2022-10,-0.2727,-0.2729,-1,36.36,0.0,63.64,33,33,0.977
bbc_news_tv,covid,2022-11,0,-0.0281,0.0,50.0,0.0,50.0,12,12,1.0445
bbc_news_tv,covid,2022-12,-0.0714,-0.0695,-1.0,46.43,0.0,53.57,28,28,1.0157
bbc_news_tv,covid,2023-01,-0.4386,-0.4316,-1,28.07,0.0,71.93,57,57,0.9067
bbc_news_tv,covid,2023-02,-0.1429,-0.144,-1.0,42.86,0.0,57.14,14,14,1.0271
bbc_news_tv,covid,2023-03,-0.6154,-0.6155,-1.0,19.23,0.0,80.77,52,52,0.7959
bbc_news_tv,covid,2023-04,-1,-1.0,-1.0,0.0,0.0,100.0,2,2,0.0
bbc_news_tv,covid,2023-05,-0.2,-0.2012,-1,40.0,0.0,60.0,5,5,1.0954
bbc_radio4,control,2016-06,1,1.0,1,100.0,0.0,0.0,1,1,0.0
bbc_radio4,control,2017-03,1,1.0,1,100.0,0.0,0.0,1,1,0.0
bbc_radio4,control,2017-08,-0.3333,-0.3353,-1,33.33,0.0,66.67,3,3,1.1547
bbc_radio4,control,2018-10,0,-0.0035,0.0,50.0,0.0,50.0,2,2,1.4142
bbc_radio4,control,2018-11,-1,-1.0,-1,0.0,0.0,100.0,1,1,0.0
bbc_radio4,control,2019-01,1,1.0,1,100.0,0.0,0.0,1,1,0.0
bbc_radio4,control,2019-04,1,1.0,1,100.0,0.0,0.0,1,1,0.0
bbc_radio4,control,2019-06,1,1.0,1,100.0,0.0,0.0,1,1,0.0
bbc_radio4,control,2019-08,-0.3333,-0.3529,-1,33.33,0.0,66.67,3,3,1.1547
bbc_radio4,covid,2020-02,0.2,0.202,1.0,60.0,0.0,40.0,10,10,1.0328
bbc_radio4,covid,2020-03,-0.5294,-0.5308,-1,23.53,0.0,76.47,17,17,0.8745
bbc_radio4,covid,2020-04,-0.4545,-0.4543,-1,27.27,0.0,72.73,33,33,0.9045
bbc_radio4,covid,2020-05,-0.0625,-0.0632,-1.0,46.88,0.0,53.12,32,32,1.014
bbc_radio4,covid,2020-06,-0.3333,-0.334,-1,33.33,0.0,66.67,21,21,0.9661
bbc_radio4,covid,2020-07,-0.3548,-0.3604,-1,32.26,0.0,67.74,31,31,0.9504
bbc_radio4,covid,2020-08,-0.3333,-0.3371,-1,33.33,0.0,66.67,21,21,0.9661
bbc_radio4,covid,2020-09,-0.8095,-0.8101,-1,9.52,0.0,90.48,21,21,0.6016
bbc_radio4,covid,2020-10,-0.5484,-0.5469,-1,22.58,0.0,77.42,31,31,0.85
bbc_radio4,covid,2020-11,-0.5455,-0.5396,-1.0,22.73,0.0,77.27,22,22,0.8579
bbc_radio4,covid,2020-12,-0.1429,-0.1309,-1.0,42.86,0.0,57.14,14,14,1.0271
bbc_radio4,covid,2021-01,-0.3778,-0.3751,-1,31.11,0.0,68.89,45,45,0.9364
bbc_radio4,covid,2021-02,-0.3043,-0.3059,-1,34.78,0.0,65.22,23,23,0.974
bbc_radio4,covid,2021-03,-0.0811,-0.0793,-1,45.95,0.0,54.05,37,37,1.0105
bbc_radio4,covid,2021-04,-0.4286,-0.4253,-1.0,28.57,0.0,71.43,28,28,0.9201
bbc_radio4,covid,2021-05,0.3333,0.3345,1,66.67,0.0,33.33,15,15,0.9759
bbc_radio4,covid,2021-06,-0.3333,-0.3483,-1,33.33,0.0,66.67,33,33,0.9574
bbc_radio4,covid,2021-07,0,-0.0008,0.0,50.0,0.0,50.0,18,18,1.029
bbc_radio4,covid,2021-08,0,0.001,0.0,50.0,0.0,50.0,14,14,1.0377
bbc_radio4,covid,2021-09,-0.6667,-0.6657,-1.0,16.67,0.0,83.33,18,18,0.767
bbc_radio4,covid,2021-10,0,-0.0516,0.0,50.0,0.0,50.0,6,6,1.0954
bbc_radio4,covid,2021-11,0.1429,0.1424,1,57.14,0.0,42.86,7,7,1.069
bbc_radio4,covid,2021-12,-0.4483,-0.444,-1,27.59,0.0,72.41,29,29,0.9097
bbc_radio4,covid,2022-01,-0.5429,-0.542,-1,22.86,0.0,77.14,35,35,0.8521
bbc_radio4,covid,2022-02,-0.3333,-0.3372,-1,33.33,0.0,66.67,3,3,1.1547
bbc_radio4,covid,2022-03,-1,-1.0,-1.0,0.0,0.0,100.0,2,2,0.0
bbc_radio4,covid,2022-04,-0.5,-0.5005,-1.0,25.0,0.0,75.0,4,4,1.0
bbc_radio4,covid,2022-05,0.4286,0.4226,1,71.43,0.0,28.57,7,7,0.9759
bbc_radio4,covid,2022-06,0.1111,0.0922,1,55.56,0.0,44.44,9,9,1.0541
bbc_radio4,covid,2022-07,0.1429,0.1407,1,57.14,0.0,42.86,7,7,1.069
bbc_radio4,covid,2022-08,1,1.0,1,100.0,0.0,0.0,1,1,0.0
bbc_radio4,covid,2022-09,1,1.0,1,100.0,0.0,0.0,1,1,0.0
bbc_radio4,covid,2022-12,-0.4286,-0.5229,-1,28.57,0.0,71.43,7,7,0.9759
bbc_radio4,covid,2023-01,-0.4286,-0.4439,-1,28.57,0.0,71.43,7,7,0.9759
bbc_radio4,covid,2023-02,0,0.0024,0.0,50.0,0.0,50.0,2,2,1.4142
bbc_radio4,covid,2023-03,-0.3333,-0.3322,-1,33.33,0.0,66.67,3,3,1.1547
graham_norton,control,2018-06,-1,-1.0,-1,0.0,0.0,100.0,1,1,0.0
graham_norton,control,2019-02,-1,-1.0,-1,0.0,0.0,100.0,1,1,0.0
graham_norton,covid,2020-04,1,1.0,1,100.0,0.0,0.0,1,1,0.0
graham_norton,covid,2020-05,-1,-1.0,-1,0.0,0.0,100.0,1,1,0.0
graham_norton,covid,2020-06,-1,-1.0,-1,0.0,0.0,100.0,1,1,0.0
graham_norton,covid,2020-09,0,0.0011,0.0,50.0,0.0,50.0,2,2,1.4142
graham_norton,covid,2020-10,-0.0909,-0.0922,-1,45.45,0.0,54.55,11,11,1.0445
graham_norton,covid,2020-11,0.3333,0.339,1,66.67,0.0,33.33,3,3,1.1547
graham_norton,covid,2021-02,-0.5,-0.4996,-1.0,25.0,0.0,75.0,4,4,1.0
graham_norton,covid,2021-03,-0.3333,-0.3408,-1,33.33,0.0,66.67,3,3,1.1547
graham_norton,covid,2021-04,-1,-1.0,-1,0.0,0.0,100.0,3,3,0.0
graham_norton,covid,2021-05,0,-0.0018,0.0,50.0,0.0,50.0,4,4,1.1547
graham_norton,covid,2021-09,-1,-1.0,-1,0.0,0.0,100.0,1,1,0.0
graham_norton,covid,2021-10,1,1.0,1,100.0,0.0,0.0,1,1,0.0
graham_norton,covid,2021-12,1,1.0,1,100.0,0.0,0.0,1,1,0.0
graham_norton,covid,2022-01,1,1.0,1,100.0,0.0,0.0,1,1,0.0
graham_norton,covid,2022-02,-0.3333,-0.3346,-1.0,33.33,0.0,66.67,6,6,1.0328
graham_norton,covid,2022-03,0,-0.0079,0.0,50.0,0.0,50.0,2,2,1.4142
graham_norton,covid,2022-05,0.3333,0.3348,1,66.67,0.0,33.33,3,3,1.1547
graham_norton,covid,2022-06,-1,-1.0,-1,0.0,0.0,100.0,1,1,0.0
graham_norton,covid,2022-11,1,1.0,1.0,100.0,0.0,0.0,2,2,0.0
graham_norton,covid,2023-01,-1,-1.0,-1,0.0,0.0,100.0,1,1,0.0
graham_norton,covid,2023-02,-1,-1.0,-1,0.0,0.0,100.0,1,1,0.0
graham_norton,covid,2023-03,1,1.0,1,100.0,0.0,0.0,1,1,0.0
qi,control,2016-06,1,1.0,1,100.0,0.0,0.0,1,1,0.0
qi,control,2017-05,-1,-1.0,-1,0.0,0.0,100.0,1,1,0.0
qi,control,2017-06,0.3333,0.428,1,66.67,0.0,33.33,3,3,1.1547
qi,control,2019-09,-1,-1.0,-1,0.0,0.0,100.0,1,1,0.0
qi,control,2019-11,-1,-1.0,-1,0.0,0.0,100.0,1,1,0.0
qi,covid,2020-03,-1,-1.0,-1,0.0,0.0,100.0,5,5,0.0
qi,covid,2020-08,1,1.0,1,100.0,0.0,0.0,1,1,0.0
qi,covid,2020-10,-1,-1.0,-1.0,0.0,0.0,100.0,2,2,0.0
qi,covid,2020-12,0.2,0.2043,1,60.0,0.0,40.0,5,5,1.0954
qi,covid,2021-01,1,1.0,1,100.0,0.0,0.0,1,1,0.0
qi,covid,2021-03,-1,-1.0,-1,0.0,0.0,100.0,1,1,0.0
qi,covid,2021-04,1,1.0,1,100.0,0.0,0.0,1,1,0.0
qi,covid,2021-05,0,0.0005,0.0,50.0,0.0,50.0,2,2,1.4142
qi,covid,2021-06,1,1.0,1,100.0,0.0,0.0,1,1,0.0
qi,covid,2021-10,1,1.0,1,100.0,0.0,0.0,1,1,0.0
qi,covid,2022-06,-1,-1.0,-1,0.0,0.0,100.0,1,1,0.0
the_last_leg,control,2016-11,1,1.0,1,100.0,0.0,0.0,1,1,0.0
the_last_leg,control,2017-01,-1,-1.0,-1,0.0,0.0,100.0,1,1,0.0
the_last_leg,control,2017-04,-1,-1.0,-1,0.0,0.0,100.0,1,1,0.0
the_last_leg,control,2017-06,1,1.0,1,100.0,0.0,0.0,1,1,0.0
the_last_leg,control,2018-02,1,1.0,1,100.0,0.0,0.0,1,1,0.0
the_last_leg,control,2018-06,-1,-1.0,-1,0.0,0.0,100.0,1,1,0.0
the_last_leg,control,2019-03,-1,-1.0,-1,0.0,0.0,100.0,1,1,0.0
the_last_leg,control,2019-07,1,1.0,1,100.0,0.0,0.0,1,1,0.0
the_last_leg,covid,2020-01,0.6,0.596,1,80.0,0.0,20.0,5,5,0.8944
the_last_leg,covid,2020-02,0.3333,0.2709,1,66.67,0.0,33.33,3,3,1.1547
the_last_leg,covid,2020-03,-0.0769,-0.0929,-1,46.15,0.0,53.85,13,13,1.0377
the_last_leg,covid,2020-05,0,-0.0047,0.0,50.0,0.0,50.0,4,4,1.1547
the_last_leg,covid,2020-06,-0.7143,-0.7179,-1,14.29,0.0,85.71,7,7,0.7559
the_last_leg,covid,2020-10,-0.2381,-0.2356,-1,38.1,0.0,61.9,21,21,0.9952
the_last_leg,covid,2020-11,-0.1429,-0.151,-1,42.86,0.0,57.14,7,7,1.069
the_last_leg,covid,2020-12,-0.3333,-0.3348,-1.0,33.33,0.0,66.67,6,6,1.0328
the_last_leg,covid,2021-01,-0.3043,-0.3063,-1,34.78,0.0,65.22,23,23,0.974
the_last_leg,covid,2021-02,-0.3333,-0.3432,-1,33.33,0.0,66.67,21,21,0.9661
the_last_leg,covid,2021-03,0.1765,0.1779,1,58.82,0.0,41.18,17,17,1.0146
the_last_leg,covid,2021-06,0.1579,0.1376,1,57.89,0.0,42.11,19,19,1.0145
the_last_leg,covid,2021-07,-1,-1.0,-1.0,0.0,0.0,100.0,4,4,0.0
the_last_leg,covid,2021-08,0,0.0023,0.0,50.0,0.0,50.0,2,2,1.4142
the_last_leg,covid,2021-09,-1,-1.0,-1,0.0,0.0,100.0,3,3,0.0
the_last_leg,covid,2021-10,-0.3333,-0.329,-1.0,33.33,0.0,66.67,18,18,0.9701
the_last_leg,covid,2021-11,0.5,0.4995,1.0,75.0,0.0,25.0,4,4,1.0
the_last_leg,covid,2021-12,-1,-1.0,-1,0.0,0.0,100.0,1,1,0.0
the_last_leg,covid,2022-01,0,-0.0012,0.0,50.0,0.0,50.0,4,4,1.1547
the_last_leg,covid,2022-02,-0.6667,-0.6708,-1.0,16.67,0.0,83.33,6,6,0.8165
the_last_leg,covid,2022-03,-1,-1.0,-1,0.0,0.0,100.0,5,5,0.0
the_last_leg,covid,2022-11,1,1.0,1,100.0,0.0,0.0,1,1,0.0
the_last_leg,covid,2023-01,1,1.0,1,100.0,0.0,0.0,1,1,0.0
the_last_leg,covid,2023-03,-1,-1.0,-1.0,0.0,0.0,100.0,6,6,0.0
the_one_show,control,2017-02,1,1.0,1,100.0,0.0,0.0,1,1,0.0
the_one_show,control,2017-03,-1,-1.0,-1.0,0.0,0.0,100.0,2,2,0.0
the_one_show,control,2017-12,1,1.0,1,100.0,0.0,0.0,1,1,0.0
the_one_show,control,2018-01,1,1.0,1.0,100.0,0.0,0.0,2,2,0.0
the_one_show,control,2018-02,0.3333,0.3301,1,66.67,0.0,33.33,3,3,1.1547
the_one_show,control,2018-04,1,1.0,1.0,100.0,0.0,0.0,2,2,0.0
the_one_show,control,2018-05,1,1.0,1,100.0,0.0,0.0,1,1,0.0
the_one_show,control,2018-11,1,1.0,1,100.0,0.0,0.0,1,1,0.0
the_one_show,control,2019-04,-1,-1.0,-1,0.0,0.0,100.0,1,1,0.0
the_one_show,control,2019-05,1,1.0,1,100.0,0.0,0.0,1,1,0.0
the_one_show,control,2019-08,1,1.0,1,100.0,0.0,0.0,1,1,0.0
the_one_show,control,2019-09,0.6667,0.6669,1.0,83.33,0.0,16.67,12,12,0.7785
the_one_show,covid,2020-03,0,-0.008,0.0,50.0,0.0,50.0,10,10,1.0541
the_one_show,covid,2020-04,0.5556,0.5568,1,77.78,0.0,22.22,9,9,0.8819
the_one_show,covid,2020-05,0,0.0001,0.0,50.0,0.0,50.0,2,2,1.4142
the_one_show,covid,2020-06,-0.6,-0.5991,-1,20.0,0.0,80.0,5,5,0.8944
the_one_show,covid,2020-07,0.5,0.5016,1.0,75.0,0.0,25.0,8,8,0.9258
the_one_show,covid,2020-08,0.6667,0.6652,1.0,83.33,0.0,16.67,6,6,0.8165
the_one_show,covid,2020-09,0.1111,0.1078,1,55.56,0.0,44.44,9,9,1.0541
the_one_show,covid,2020-10,0,0.0005,0.0,50.0,0.0,50.0,4,4,1.1547
the_one_show,covid,2020-11,0,0.0014,0.0,50.0,0.0,50.0,4,4,1.1547
the_one_show,covid,2020-12,-1,-1.0,-1.0,0.0,0.0,100.0,2,2,0.0
the_one_show,covid,2021-01,-0.4286,-0.4288,-1,28.57,0.0,71.43,21,21,0.9258
the_one_show,covid,2021-02,-0.5,-0.4977,-1.0,25.0,0.0,75.0,8,8,0.9258
the_one_show,covid,2021-03,1,1.0,1,100.0,0.0,0.0,1,1,0.0
the_one_show,covid,2021-04,1,1.0,1.0,100.0,0.0,0.0,2,2,0.0
the_one_show,covid,2021-05,1,1.0,1.0,100.0,0.0,0.0,2,2,0.0
the_one_show,covid,2021-07,-0.5,-0.5,-1.0,25.0,0.0,75.0,4,4,1.0
the_one_show,covid,2021-08,0,-0.0011,0.0,50.0,0.0,50.0,2,2,1.4142
the_one_show,covid,2021-10,0,0.0028,0.0,50.0,0.0,50.0,4,4,1.1547
the_one_show,covid,2021-11,-0.6667,-0.6655,-1.0,16.67,0.0,83.33,6,6,0.8165
the_one_show,covid,2021-12,0,0.0011,0.0,50.0,0.0,50.0,2,2,1.4142
the_one_show,covid,2022-01,0,-0.0015,0.0,50.0,0.0,50.0,2,2,1.4142
the_one_show,covid,2022-02,-0.3333,-0.3393,-1,33.33,0.0,66.67,3,3,1.1547
the_one_show,covid,2022-03,-0.1429,-0.1425,-1,42.86,0.0,57.14,7,7,1.069
the_one_show,covid,2022-04,1,1.0,1.0,100.0,0.0,0.0,2,2,0.0
the_one_show,covid,2022-06,1,1.0,1,100.0,0.0,0.0,3,3,0.0
the_one_show,covid,2022-08,1,1.0,1.0,100.0,0.0,0.0,2,2,0.0
the_one_show,covid,2022-10,1,1.0,1.0,100.0,0.0,0.0,2,2,0.0
the_one_show,covid,2022-11,1,1.0,1.0,100.0,0.0,0.0,2,2,0.0
the_one_show,covid,2022-12,1,1.0,1,100.0,0.0,0.0,1,1,0.0
the_one_show,covid,2023-04,1,1.0,1,100.0,0.0,0.0,1,1,0.0
